,id,movieID,movie,release_date,release_month,release_year,season,production_budget,domestic_gross,worldwide_gross,ROI,inflation_ratio,PB_AI,DG_AI,runtime_minutes,genres,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
0,2,tt1298650,Pirates of the Caribbean: On Stranger Tides,2011-05-20,5,2011,Spring,410600000,241063875,1045663875,0.5871014978080857,1.4,574840000.0,337489425.0,136.0,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,tt6565702,Dark Phoenix,2019-06-07,6,2019,Summer,350000000,42762350,149762350,0.12217814285714286,1.22,427000000.0,52170067.0,113.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,4,tt2395427,Avengers: Age of Ultron,2015-05-01,5,2015,Spring,330600000,459005868,1403013963,1.388402504537205,1.32,436392000.0,605887745.76,141.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,7,tt4154756,Avengers: Infinity War,2018-04-27,4,2018,Spring,300000000,678815482,2048134200,2.2627182733333333,1.24,372000000.0,841731197.68,149.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,9,tt0974015,Justice League,2017-11-17,11,2017,Fall,300000000,229024295,655945209,0.7634143166666667,1.27,381000000.0,290860854.65,120.0,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,tt2379713,Spectre,2015-11-06,11,2015,Fall,300000000,200074175,879620923,0.6669139166666667,1.32,396000000.0,264097911.0,148.0,"Action,Adventure,Thriller",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,11,tt1345836,The Dark Knight Rises,2012-07-20,7,2012,Summer,275000000,448139099,1084439099,1.6295967236363635,1.36,374000000.0,609469174.64,164.0,"Action,Thriller",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,12,tt3778644,Solo: A Star Wars Story,2018-05-25,5,2018,Spring,275000000,213767512,393151347,0.7773364072727272,1.24,341000000.0,265071714.88,135.0,"Action,Adventure,Fantasy",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13,tt1210819,The Lone Ranger,2013-07-02,7,2013,Summer,275000000,89302115,260002115,0.3247349636363636,1.34,368500000.0,119664834.10000001,150.0,"Action,Adventure,Western",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,14,tt0401729,John Carter,2012-03-09,3,2012,Spring,275000000,73058679,282778100,0.26566792363636366,1.36,374000000.0,99359803.44000001,132.0,"Action,Adventure,Sci-Fi",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
